10064,1.2.3.0/24,"(10064, 4766, 4651, 13335, 15830, 198949, 396450, 2152, 25)"
10065,1.2.0.0/16,"(10065, 9318, 15830, 20473, 52025, 42, 10886, 27)"
10065,1.2.3.0/24,"(10065, 9318, 15830, 198949, 396450, 2152, 25)"
10066,1.2.0.0/16,"(10066, 9845, 38091, 6939, 52025, 42, 10886, 27)"
10066,1.2.3.0/24,"(10066, 9845, 38091, 6939, 4826, 198949, 396450, 2152, 25)"
10069,1.2.0.0/16,"(10069, 9318, 15830, 20473, 52025, 42, 10886, 27)"
10069,1.2.3.0/24,"(10069, 9318, 15830, 198949, 396450, 2152, 25)"
10070,1.2.0.0/16,"(10070, 1237, 4766, 4651, 13335, 20473, 52025, 42, 10886, 27)"
10070,1.2.3.0/24,"(10070, 1237, 4766, 4651, 13335, 15830, 198949, 396450, 2152, 25)"
10071,1.2.0.0/16,"(10071, 3786, 11164, 10886, 27)"
10071,1.2.3.0/24,"(10071, 3786, 2152, 25)"
10072,1.2.0.0/16,"(10072, 3786, 11164, 10886, 27)"
10072,1.2.3.0/24,"(10072, 3786, 2152, 25)"
10073,1.2.0.0/16,"(10073, 3786, 11164, 10886, 27)"
10073,1.2.3.0/24,"(10073, 3786, 2152, 25)"
10074,1.2.0.0/16,"(10074, 1299, 10886, 27)"
10074,1.2.3.0/24,"(10074, 1299, 198949, 396450, 2152, 25)"
10075,1.2.0.0/16,"(10075, 1828, 400587, 52025, 42, 10886, 27)"
10075,1.2.3.0/24,"(10075, 4755, 198949, 396450, 2152, 25)"
10076,1.2.0.0/16,"(10076, 17882, 13335, 20473, 52025, 42, 10886, 27)"
10076,1.2.3.0/24,"(10076, 17882, 13335, 15830, 198949, 396450, 2152, 25)"
10079,1.2.0.0/16,"(10079, 7575, 42, 10886, 27)"
10079,1.2.3.0/24,"(10079, 7575, 2152, 25)"
1008,1.2.0.0/16,"(1008, 174, 10886, 27)"
1008,1.2.3.0/24,"(1008, 3356, 2152, 25)"
10080,1.2.0.0/16,"(10080, 137409, 8529, 9009, 60068, 52025, 42, 10886, 27)"
10080,1.2.3.0/24,"(10080, 137409, 8529, 42156, 198949, 396450, 2152, 25)"
10081,1.2.0.0/16,"(10081, 4818, 13335, 20473, 52025, 42, 10886, 27)"
10081,1.2.3.0/24,"(10081, 4818, 13335, 15830, 198949, 396450, 2152, 25)"
10082,1.2.0.0/16,"(10082, 9304, 1828, 400587, 52025, 42, 10886, 27)"
10082,1.2.3.0/24,"(10082, 9304, 9318, 15830, 198949, 396450, 2152, 25)"
10083,1.2.0.0/16,"(10083, 24482, 45430, 13335, 20473, 52025, 42, 10886, 27)"
10083,1.2.3.0/24,"(10083, 24482, 45430, 13335, 15830, 198949, 396450, 2152, 25)"
10084,1.2.0.0/16,"(10084, 6939, 52025, 42, 10886, 27)"
10084,1.2.3.0/24,"(10084, 4826, 198949, 396450, 2152, 25)"
10088,1.2.0.0/16,"(10088, 3786, 11164, 10886, 27)"
10088,1.2.3.0/24,"(10088, 3786, 2152, 25)"
10089,1.2.0.0/16,"(10089, 13335, 20473, 52025, 42, 10886, 27)"
10089,1.2.3.0/24,"(10089, 13335, 15830, 198949, 396450, 2152, 25)"
1009,1.2.0.0/16,"(1009, 7046, 14551, 3356, 10886, 27)"
1009,1.2.3.0/24,"(1009, 7046, 14551, 3356, 2152, 25)"
10094,1.2.0.0/16,"(10094, 13335, 20473, 52025, 42, 10886, 27)"
10094,1.2.3.0/24,"(10094, 13335, 15830, 198949, 396450, 2152, 25)"
10096,1.2.0.0/16,"(10096, 19257, 174, 10886, 27)"
10096,1.2.3.0/24,"(10096, 19257, 54623, 3356, 2152, 25)"
10098,1.2.0.0/16,"(10098, 6939, 52025, 42, 10886, 27)"
10098,1.2.3.0/24,"(10098, 9002, 198949, 396450, 2152, 25)"
10099,1.2.0.0/16,"(10099, 7545, 20473, 52025, 42, 10886, 27)"
10099,1.2.3.0/24,"(10099, 4837, 9873, 13335, 15830, 198949, 396450, 2152, 25)"
101,1.2.0.0/16,"(101, 2907, 7660, 11537, 10886, 27)"
101,1.2.3.0/24,"(101, 2152, 25)"
1010,1.2.0.0/16,"(1010, 56040, 9808, 58807, 174, 10886, 27)"
1010,1.2.3.0/24,"(1010, 46632, 137409, 8529, 42156, 198949, 396450, 2152, 25)"
10100,1.2.0.0/16,"(10100, 703, 174, 10886, 27)"
10100,1.2.3.0/24,"(10100, 703, 3356, 2152, 25)"
